X1;X2;X3;X4;X5;X6;X7;X8;Y;A
-0.564754438;-0.803218443;1.625619482;0.050354579;4;-2.25901775;0.002535584;1.81448472;46.70110495;0
1.299500029;0.476262163;0.434866205;0.30149811;2;2.599000059;0.090901111;1.237805391;45.36501933;0
0.001802605;3.416544344;0.111812581;0.444590718;2;0.003605209;0.197660907;0.012317357;47.03340222;0
-0.570083502;2.613672196;-1.067659835;0.545845427;2;-1.140167005;0.29794723;-2.980022798;39.804922;1
-0.50049241;-1.054683657;-0.360394858;0.004596238;1;-0.50049241;2.11E-05;0.527861165;50.92973324;1
0.512164377;2.159157415;0.320696586;0.266608928;1;0.512164377;0.071080321;1.105843513;45.43625859;0
-0.387100228;-3.245382432;0.786060685;0.450851231;1;-0.387100228;0.203266833;1.256288281;57.86312514;1
-0.770525903;0.162922433;2.340065618;0.829185931;2;-1.541051806;0.687549309;-0.251071909;47.86930881;1
1.522709408;2.36587542;-2.607054547;0.026868424;4;6.090837633;0.000721912;14.41016304;64.27887311;1
-1.642432535;1.012113757;-2.02540523;0.197662096;1;-1.642432535;0.039070304;-1.662328564;38.21334447;1
1.714945308;1.848505913;-0.668670908;0.002638385;4;6.859781233;6.96E-06;12.68034617;52.77149536;0
0.367330987;3.341901296;0.379068077;0.089688137;1;0.367330987;0.008043962;1.227583901;44.36728209;0
1.011896637;-0.122577694;0.345375379;0.241841559;4;4.04758655;0.05848734;-0.496143824;45.90462622;0
0.539850855;1.281293975;-0.775317208;0.019613723;5;2.699254274;0.000384698;3.458538239;49.11122458;0
0.046482438;-1.048910312;1.735121444;0.711050076;4;0.185929753;0.505592211;-0.195023635;63.49604861;1
0.18357449;-0.773624702;0.325665141;0.282858017;5;0.917872448;0.080008658;-0.710088799;47.49397682;0
-1.385522234;2.943914684;-0.861201675;0.015127698;5;-6.927611171;0.000228847;-20.39429625;34.56591295;0
-0.195018432;-5.279629145;1.094824158;0.607254467;5;-0.975092161;0.368757988;5.148124992;80.37418101;1
-1.938186537;-4.984844597;-0.773570755;0.166529034;4;-7.752746148;0.027731919;38.64623474;82.29591465;1
0.818469722;1.201982194;1.593455916;0.057728387;2;1.636939444;0.003332567;1.967572064;47.96118832;0
1.754230325;-1.79722289;-0.787631772;0.437406948;7;12.27961228;0.191324838;-22.06920026;75.66138489;1
0.279862285;-1.767919444;0.24149956;0.104848078;3;0.839586856;0.010993119;-1.484321928;44.51151161;0
-0.744530711;2.114809268;0.486559293;0.019706881;5;-3.722653557;0.000388361;-7.872702243;41.90781932;0
0.303187927;-0.138792983;-0.560472819;0.083387119;2;0.606375855;0.006953412;-0.084160714;46.92327822;0
0.430010059;-2.593567386;-0.811601409;0.057934698;1;0.430010059;0.003356429;-1.115260065;43.83902779;0
-0.290018848;-1.065740175;0.527227589;0.16425409;1;-0.290018848;0.026979406;0.309084737;46.36226595;0
0.405143941;2.968769487;0.340124619;0.000533553;1;0.405143941;2.85E-07;1.202778969;46.79363495;0
-0.935196275;-3.61162742;-1.698662153;0.277798515;0;0;0.077172015;0;44.65899335;0
0.212189223;-0.674969321;-0.429031237;0.220851418;3;0.636567668;0.048775349;-0.429663646;57.96474735;1
0.659731253;-2.294004128;0.672006454;0.065701219;3;1.979193758;0.00431665;-4.540278653;64.1734054;1
-0.779387045;0.378243528;-0.758677107;0.000443152;6;-4.676322273;1.96E-07;-1.768788634;44.28356054;0
-0.581698898;0.683689789;-0.83382241;0.026739309;4;-2.326795591;0.000714991;-1.590806388;44.79269035;0
-0.13768562;1.670225441;-0.295462954;0.088176547;4;-0.550742481;0.007775103;-0.919864104;43.85875562;0
1.254474315;1.04789684;1.862978867;0.273920797;3;3.763422944;0.075032603;3.943679009;60.74848221;1
0.165840186;-0.177811667;-1.039865684;0.128358523;3;0.497520557;0.01647591;-0.08846496;58.08190966;1
-0.447709138;-1.961518636;-1.337745318;0.76415046;1;-0.447709138;0.583925926;0.878189818;46.41675208;0
0.199528832;-0.270973495;1.185197377;0.88157826;3;0.598586495;0.777180228;-0.162201075;57.08680438;1
0.581409208;-3.588256354;1.959746217;0.935678596;1;0.581409208;0.875494435;-2.086245285;62.36436411;1
-0.248266198;0.617359093;0.547627782;0.685182061;4;-0.993064791;0.469474457;-0.613077578;56.11643714;1
-0.082537557;-0.368027001;3.31810917;0.236804999;3;-0.247612672;0.056076607;0.091128149;46.32579483;0
-0.531714148;0.968032936;0.627345787;0.780393147;2;-1.063428297;0.609013464;-1.029433616;46.29468288;1
-1.057158461;-1.034894186;0.720473816;0.128237303;4;-4.228633843;0.016444806;4.37618858;44.90187582;0
2.487266076;1.244072974;-1.322141624;0.112818504;3;7.461798228;0.012728015;9.283021512;67.15238764;1
-1.066211597;-3.193249041;-2.152091685;0.722406689;1;-1.066211597;0.521871424;3.40467916;57.58859022;1
-2.055160974;-0.20706968;5.176003821;0.167974801;2;-4.110321948;0.028215534;0.851123049;44.88773143;0
-0.123720068;3.766810073;-2.288591227;0.25311438;5;-0.618600339;0.064066889;-2.330149989;44.57078728;0
0.170722965;-0.568663493;-2.741490241;0.384873187;1;0.170722965;0.14812737;-0.097083918;49.8873657;1
2.073406396;1.826364904;1.127084415;0.024892422;1;2.073406396;0.000619633;3.786796673;50.89649838;1
0.214073663;1.223043907;-0.320399418;0.528895008;2;0.428147326;0.27972993;0.523642978;49.4102128;1
-0.308064185;-2.317314038;-0.789682906;0.152785079;4;-1.232256741;0.02334328;2.855525845;46.03244281;0
